Crop,Year,Area,Yield,Production
Total Foodgrains,2006-07,128.5,123.6,158.8
Total Foodgrains,2007-08,128.8,130.9,168.6
Total Foodgrains,2008-09,127.6,134.3,171.3
Total Foodgrains,2009-10,126.0,126.5,159.4
Total Foodgrains,2010-11,131.7,135.9,178.9
Rice,2006-07,168.5,119.2,200.8
Rice,2007-08,168.9,123.1,207.9
Rice,2008-09,175.1,121.8,213.3
Rice,2009-10,161.2,118.9,191.6
Rice,2010-11,164.8,125.2,206.4
Wheat,2006-07,115.0,114.4,131.6
Wheat,2007-08,115.2,118.4,136.4
Wheat,2008-09,114.0,122.8,140.1
Wheat,2009-10,116.9,120.0,140.3
Wheat,2010-11,119.5,126.3,150.8
Jowar,2006-07,120.7,103.0,124.3
Jowar,2007-08,110.6,124.6,137.8
Jowar,2008-09,107.3,117.4,126.0
Jowar,2009-10,111.0,105.0,116.5
Jowar,2010-11,105.2,115.8,121.8
Bajra,2006-07,94.5,144.3,136.4
Bajra,2007-08,95.1,169.7,161.5
Bajra,2008-09,87.0,165.4,143.9
Bajra,2009-10,88.5,119.0,105.4
Bajra,2010-11,95.6,175.8,167.9
Maize,2006-07,156.1,127.3,198.8
Maize,2007-08,160.5,155.5,249.6
Maize,2008-09,161.6,160.7,259.8
Maize,2009-10,163.4,134.7,220.1
Maize,2010-11,169.1,169.1,286.0
Ragi,2006-07,60.2,93.2,56.1
Ragi,2007-08,70.9,117.9,83.6
Ragi,2008-09,70.6,112.2,79.3
Ragi,2009-10,64.8,113.2,73.4
Ragi,2010-11,65.8,129.6,85.2
Small millets,2006-07,50.9,106.0,53.9
Small millets,2007-08,52.3,118.3,61.9
Small millets,2008-09,45.6,109.7,50.0
Small millets,2009-10,41.8,102.7,42.9
Small millets,2010-11,45.0,182.4,82.0
Barley,2006-07,72.8,121.0,88.1
Barley,2007-08,67.9,116.9,79.3
Barley,2008-09,79.5,141.0,112.0
Barley,2009-10,70.2,127.9,89.9
Barley,2010-11,79.4,138.9,110.3
Coarse Cereals,2006-07,106.4,130.1,138.5
Coarse Cereals,2007-08,105.6,157.6,166.4
Coarse Cereals,2008-09,101.8,160.7,163.5
Coarse Cereals,2009-10,102.6,133.5,137.0
Coarse Cereals,2010-11,105.4,169.2,178.4
Cereals,2006-07,130.0,126.3,164.1
Cereals,2007-08,129.9,134.4,174.6
Cereals,2008-09,130.3,136.4,177.7
Cereals,2009-10,126.8,129.7,164.4
Cereals,2010-11,129.8,141.1,183.1
Gram,2006-07,122.3,115.0,140.6
Gram,2007-08,123.1,103.7,127.6
Gram,2008-09,128.8,121.7,156.5
Gram,2009-10,133.3,124.5,165.9
Gram,2010-11,149.9,121.7,182.5
Arhar,2006-07,99.7,97.3,97.0
Arhar,2007-08,104.3,123.6,128.9
Arhar,2008-09,94.5,100.4,94.9
Arhar,2009-10,97.0,106.5,103.3
Arhar,2010-11,122.2,98.1,119.9
Other Pulses,2006-07,131.3,105.9,139.1
Other Pulses,2007-08,133.8,111.3,148.9
Other Pulses,2008-09,117.1,112.2,131.4
Other Pulses,2009-10,126.1,93.9,118.4
Other Pulses,2010-11,139.1,129.0,179.5
Total Pulses,2006-07,122.1,106.7,130.3
Total Pulses,2007-08,124.4,108.8,135.4
Total Pulses,2008-09,116.3,114.9,133.7
Total Pulses,2009-10,122.6,109.7,134.5
Total Pulses,2010-11,139.0,120.4,167.4
Total Non-Food grains,2006-07,126.6,122.8,155.4
Total Non-Food grains,2007-08,128.6,122.0,156.8
Total Non-Food grains,2008-09,131.5,107.4,141.2
Total Non-Food grains,2009-10,126.7,113.1,143.2
Total Non-Food grains,2010-11,136.5,123.4,168.4
Total Oilseeds,2006-07,124.8,118.7,148.2
Total Oilseeds,2007-08,126.2,119.6,150.9
Total Oilseeds,2008-09,129.0,109.1,140.8
Total Oilseeds,2009-10,126.1,107.8,135.9
Total Oilseeds,2010-11,134.0,126.1,169.0
Groundnut,2006-07,124.1,92.8,115.2
Groundnut,2007-08,139.1,156.3,217.5
Groundnut,2008-09,136.3,124.6,169.8
Groundnut,2009-10,121.1,106.2,128.6
Groundnut,2010-11,129.5,151.2,195.7
Sesamum,2006-07,74.2,128.7,95.5
Sesamum,2007-08,78.4,149.1,116.8
Sesamum,2008-09,78.8,125.4,98.8
Sesamum,2009-10,84.6,107.4,90.8
Sesamum,2010-11,90.7,151.9,137.9
Rapeseed &Mustard,2006-07,107.0,129.6,138.7
Rapeseed &Mustard,2007-08,91.8,118.5,108.8
Rapeseed &Mustard,2008-09,99.3,135.2,134.3
Rapeseed &Mustard,2009-10,88.1,139.9,123.2
Rapeseed &Mustard,2010-11,108.8,140.2,152.5
Linseed,2006-07,47.9,116.8,55.9
Linseed,2007-08,51.3,106.1,54.4
Linseed,2008-09,44.8,126.0,56.4
Linseed,2009-10,37.5,136.5,51.2
Linseed,2010-11,39.4,123.9,48.8
Castor seed,2006-07,91.7,136.0,124.7
Castor seed,2007-08,114.8,150.1,172.3
Castor seed,2008-09,126.4,151.5,191.6
Castor seed,2009-10,107.2,153.9,165.0
Castor seed,2010-11,128.5,171.9,220.9
Safflower,2006-07,55.8,120.6,67.3
Safflower,2007-08,47.4,132.6,62.8
Safflower,2008-09,43.6,121.5,53.0
Safflower,2009-10,42.6,117.5,50.1
Safflower,2010-11,36.1,116.7,42.1
Niger seed,2006-07,75.7,86.0,65.1
Niger seed,2007-08,65.8,89.6,59.0
Niger seed,2008-09,63.5,99.2,63.0
Niger seed,2009-10,60.6,88.8,53.8
Niger seed,2010-11,59.9,96.9,58.0
Sunflower,2006-07,175.0,92.2,161.3
Sunflower,2007-08,154.5,124.5,192.3
Sunflower,2008-09,146.5,103.9,152.2
Sunflower,2009-10,119.3,93.7,111.8
Sunflower,2010-11,75.1,114.0,85.6
Soyabean,2006-07,222.7,113.7,253.2
Soyabean,2007-08,237.5,132.1,313.8
Soyabean,2008-09,254.5,111.4,283.4
Soyabean,2009-10,260.3,109.5,285.1
Soyabean,2010-11,256.8,141.9,364.4
Nine Oilseeds,2006-07,126.1,116.7,147.1
Nine Oilseeds,2007-08,126.9,142.0,180.2
Nine Oilseeds,2008-09,131.0,128.1,167.9
Nine Oilseeds,2009-10,123.4,122.1,150.7
Nine Oilseeds,2010-11,129.4,152.0,196.7
Coconut,2006-07,123.5,115.5,142.7
Coconut,2007-08,121.4,75.3,91.4
Coconut,2008-09,121.4,75.3,91.4
Coconut,2009-10,120.9,80.7,97.5
Coconut,2010-11,120.9,80.8,97.7
Cotton seed,2006-07,121.7,152.9,186.1
Cotton seed,2007-08,125.3,169.9,212.8
Cotton seed,2008-09,125.2,146.3,183.2
Cotton seed,2009-10,134.8,146.5,197.5
Cotton seed,2010-11,149.5,181.5,271.3
Total Fibers,2006-07,118.3,157.3,186.1
Total Fibers,2007-08,121.7,167.2,203.5
Total Fibers,2008-09,120.9,148.2,179.1
Total Fibers,2009-10,129.4,152.0,196.6
Total Fibers,2010-11,141.9,168.6,239.3
Cotton(lint),2006-07,121.7,175.2,213.1
Cotton(lint),2007-08,125.3,194.6,243.8
Cotton(lint),2008-09,125.2,167.6,209.8
Cotton(lint),2009-10,134.8,167.8,226.2
Cotton(lint),2010-11,149.5,207.9,310.8
Jute,2006-07,103.6,212.7,220.3
Jute,2007-08,106.4,205.2,218.3
Jute,2008-09,102.6,200.5,205.8
Jute,2009-10,106.0,226.3,239.8
Jute,2010-11,101.1,211.5,213.8
Mesta,2006-07,67.2,121.6,81.7
Mesta,2007-08,69.1,122.5,84.6
Mesta,2008-09,54.5,114.6,62.4
Mesta,2009-10,44.5,112.7,50.1
Mesta,2010-11,46.6,112.0,52.2
Jute & Mesta,2006-07,95.7,209.7,200.7
Jute & Mesta,2007-08,98.3,203.0,199.6
Jute & Mesta,2008-09,92.2,200.1,184.5
Jute & Mesta,2009-10,92.7,227.0,210.4
Jute & Mesta,2010-11,89.3,211.8,189.1
Sannhamp,2006-07,54.2,180.7,97.9
Sannhamp,2007-08,51.4,182.7,93.0
Sannhamp,2008-09,45.0,195.2,87.8
Sannhamp,2009-10,45.0,179.4,69.0
Sannhamp,2010-11,47.6,230.9,109.9
Tea,2006-07,135.3,97.7,132.2
Tea,2007-08,137.8,96.3,132.8
Tea,2008-09,137.8,95.8,132.0
Tea,2009-10,137.8,95.8,132.0
Tea,2010-11,137.8,95.8,132.0
Coffee,2006-07,117.9,117.0,138.0
Coffee,2007-08,119.8,116.7,139.8
Coffee,2008-09,121.9,114.8,139.9
Coffee,2009-10,123.7,125.0,154.5
Coffee,2010-11,125.4,128.5,161.1
Rubber,2006-07,98.6,218.5,215.5
Rubber,2007-08,138.1,151.1,208.6
Rubber,2008-09,143.8,151.9,216.5
Rubber,2009-10,149.2,140.9,210.1
Rubber,2010-11,149.2,140.9,210.1
Total Spices,2006-07,121.3,1176.6,1427.7
Total Spices,2007-08,125.9,1247.7,1571.5
Total Spices,2008-09,126.5,1156.8,1463.0
Total Spices,2009-10,122.0,1172.1,1430.3
Total Spices,2010-11,136.6,1310.8,1790.6
Black pepper,2006-07,130.8,102.6,134.2
Black pepper,2007-08,104.7,87.4,91.5
Black pepper,2008-09,126.9,72.7,92.2
Black pepper,2009-10,104.2,95.2,99.2
Black pepper,2010-11,97.8,103.4,101.1
Dry chilies,2006-07,83.6,195.5,163.5
Dry chilies,2007-08,88.3,193.4,170.8
Dry chilies,2008-09,85.4,195.8,167.1
Dry chilies,2009-10,84.0,188.4,158.3
Dry chilies,2010-11,86.8,185.5,160.9
Dry ginger,2006-07,176.2,117.1,206.3
Dry ginger,2007-08,172.9,116.0,200.6
Dry ginger,2008-09,180.4,110.5,199.3
Dry ginger,2009-10,179.4,112.6,202.0
Dry ginger,2010-11,247.4,148.8,368.1
Turmeric,2006-07,134.3,118.1,158.6
Turmeric,2007-08,131.9,121.4,160.1
Turmeric,2008-09,136.2,121.5,165.5
Turmeric,2009-10,136.2,117.4,159.8
Turmeric,2010-11,146.7,136.4,200.2
Arecanut,2006-07,167.7,108.8,182.5
Arecanut,2007-08,169.5,108.7,184.3
Arecanut,2008-09,169.7,109.3,185.5
Arecanut,2009-10,175.4,105.1,184.3
Arecanut,2010-11,175.4,105.1,184.3
Cardamom,2006-07,93.4,170.5,159.2
Cardamom,2007-08,77.8,174.7,135.8
Cardamom,2008-09,87.5,179.6,157.1
Cardamom,2009-10,85.8,185.6,159.2
Cardamom,2010-11,82.7,196.1,162.2
Coriander,2006-07,79.1,159.8,126.4
Coriander,2007-08,94.8,177.2,167.9
Coriander,2008-09,97.9,134.1,131.3
Coriander,2009-10,88.8,144.7,128.5
Coriander,2010-11,130.7,199.9,261.3
Garlic,2006-07,187.6,120.6,226.2
Garlic,2007-08,241.6,128.8,311.3
Garlic,2008-09,195.8,123.6,242.1
Garlic,2009-10,194.4,125.0,243.0
Garlic,2010-11,236.8,130.1,308.2
Total Fruits & Vegetables,2006-07,139.3,116.7,162.6
Total Fruits & Vegetables,2007-08,145.0,127.5,184.9
Total Fruits & Vegetables,2008-09,173.8,139.2,241.9
Total Fruits & Vegetables,2009-10,170.9,140.6,240.3
Total Fruits & Vegetables,2010-11,188.3,145.7,274.5
Potato,2006-07,142.2,95.5,135.7
Potato,2007-08,148.8,117.1,174.2
Potato,2008-09,175.1,120.2,210.5
Potato,2009-10,175.8,127.4,223.8
Potato,2010-11,178.4,145.2,259.1
Tapioca,2006-07,105.1,139.2,146.4
Tapioca,2007-08,103.9,145.7,151.5
Tapioca,2008-09,114.8,145.6,167.1
Tapioca,2009-10,95.1,147.1,140.0
Tapioca,2010-11,90.6,154.8,140.3
Sweet potato,2006-07,75.8,106.9,81.1
Sweet potato,2007-08,75.4,105.2,79.3
Sweet potato,2008-09,88.4,106.6,94.2
Sweet potato,2009-10,84.6,108.8,92.1
Sweet potato,2010-11,80.4,109.6,88.1
Onion,2006-07,207.7,115.8,240.5
Onion,2007-08,208.4,118.7,247.3
Onion,2008-09,246.8,148.8,367.1
Onion,2009-10,223.6,147.1,329.1
Onion,2010-11,314.7,130.0,409.1
Banana,2006-07,117.6,161.0,189.3
Banana,2007-08,131.2,153.3,201.1
Banana,2008-09,174.8,171.0,298.8
Banana,2009-10,189.8,159.0,301.7
Banana,2010-11,204.6,165.9,339.4
Sugarcane,2006-07,142.6,105.1,149.8
Sugarcane,2007-08,140.0,104.8,146.7
Sugarcane,2008-09,122.2,98.3,120.1
Sugarcane,2009-10,115.6,106.6,123.2
Sugarcane,2010-11,135.2,106.7,144.3
Tobacco,2006-07,88.8,99.1,88.1
Tobacco,2007-08,83.9,88.3,83.6
Tobacco,2008-09,94.2,102.4,96.4
Tobacco,2009-10,107.1,109.6,105.3
Tobacco,2010-11,118.8,118.6,140.9
