Crop,Year,Area,Quantity,Production,state,Cost,Variety,Season,Recommended Zone,Unit
Wheat,2006-07,115.0,114.4,131.6,Madhya Pradesh,810.25,MPO(JW)  1215 (MPO 1215),120,"Madhya Pradesh, Chhattisgarh, Gujarat and Rajasthan (Kota and Udaipur Division only) under timely sown irrigated condition.",Tons
Wheat,2006-07,115.0,114.4,131.6,Madhya Pradesh,810.25,MACS 6222,108,"Maharashtra, Karnataka, Andhra Pradesh and Tamil Nadu under timely sown irrigated condition.",Tons
Wheat,2006-07,115.0,114.4,131.6,Madhya Pradesh,810.25,PDW 314,169,"Punjab, Haryana, Western Uttar Pradesh, Delhi, Rajasthan (Excluding Kota & Udaipur Divisions), Tarai Regions of Uttarakhand, Paonta Valley & Una District of Himachal Pradesh under timely sown irrigated conditions.",Tons
Wheat,2006-07,115.0,114.4,131.6,Madhya Pradesh,810.25,DBW39,123,"Eastern Uttar Pradesh, Bihar, Jharkhand, West Bengal, Assam and Orissa under timely sown irrigated condition.",Tons
Wheat,2006-07,115.0,114.4,131.6,Madhya Pradesh,810.25,VL Gehun 907 (VL 907),167 irrigated   & 180 rainfed,"Himachal Pradesh,  Jammu & Kashmir, Uttarakhand and Sikkim under timely sown irrigated conditions.",Tons
Wheat,2006-07,115.0,114.4,131.6,Punjab,804.8,MPO(JW)  1215 (MPO 1215),120,"Madhya Pradesh, Chhattisgarh, Gujarat and Rajasthan (Kota and Udaipur Division only) under timely sown irrigated condition.",Tons
Wheat,2006-07,115.0,114.4,131.6,Punjab,804.8,MACS 6222,108,"Maharashtra, Karnataka, Andhra Pradesh and Tamil Nadu under timely sown irrigated condition.",Tons
Wheat,2006-07,115.0,114.4,131.6,Punjab,804.8,PDW 314,169,"Punjab, Haryana, Western Uttar Pradesh, Delhi, Rajasthan (Excluding Kota & Udaipur Divisions), Tarai Regions of Uttarakhand, Paonta Valley & Una District of Himachal Pradesh under timely sown irrigated conditions.",Tons
Wheat,2006-07,115.0,114.4,131.6,Punjab,804.8,DBW39,123,"Eastern Uttar Pradesh, Bihar, Jharkhand, West Bengal, Assam and Orissa under timely sown irrigated condition.",Tons
Wheat,2006-07,115.0,114.4,131.6,Punjab,804.8,VL Gehun 907 (VL 907),167 irrigated   & 180 rainfed,"Himachal Pradesh,  Jammu & Kashmir, Uttarakhand and Sikkim under timely sown irrigated conditions.",Tons
Wheat,2006-07,115.0,114.4,131.6,Uttar Pradesh,769.84,MPO(JW)  1215 (MPO 1215),120,"Madhya Pradesh, Chhattisgarh, Gujarat and Rajasthan (Kota and Udaipur Division only) under timely sown irrigated condition.",Tons
Wheat,2006-07,115.0,114.4,131.6,Uttar Pradesh,769.84,MACS 6222,108,"Maharashtra, Karnataka, Andhra Pradesh and Tamil Nadu under timely sown irrigated condition.",Tons
Wheat,2006-07,115.0,114.4,131.6,Uttar Pradesh,769.84,PDW 314,169,"Punjab, Haryana, Western Uttar Pradesh, Delhi, Rajasthan (Excluding Kota & Udaipur Divisions), Tarai Regions of Uttarakhand, Paonta Valley & Una District of Himachal Pradesh under timely sown irrigated conditions.",Tons
Wheat,2006-07,115.0,114.4,131.6,Uttar Pradesh,769.84,DBW39,123,"Eastern Uttar Pradesh, Bihar, Jharkhand, West Bengal, Assam and Orissa under timely sown irrigated condition.",Tons
Wheat,2006-07,115.0,114.4,131.6,Uttar Pradesh,769.84,VL Gehun 907 (VL 907),167 irrigated   & 180 rainfed,"Himachal Pradesh,  Jammu & Kashmir, Uttarakhand and Sikkim under timely sown irrigated conditions.",Tons
Wheat,2006-07,115.0,114.4,131.6,Rajasthan,683.58,MPO(JW)  1215 (MPO 1215),120,"Madhya Pradesh, Chhattisgarh, Gujarat and Rajasthan (Kota and Udaipur Division only) under timely sown irrigated condition.",Tons
Wheat,2006-07,115.0,114.4,131.6,Rajasthan,683.58,MACS 6222,108,"Maharashtra, Karnataka, Andhra Pradesh and Tamil Nadu under timely sown irrigated condition.",Tons
Wheat,2006-07,115.0,114.4,131.6,Rajasthan,683.58,PDW 314,169,"Punjab, Haryana, Western Uttar Pradesh, Delhi, Rajasthan (Excluding Kota & Udaipur Divisions), Tarai Regions of Uttarakhand, Paonta Valley & Una District of Himachal Pradesh under timely sown irrigated conditions.",Tons
Wheat,2006-07,115.0,114.4,131.6,Rajasthan,683.58,DBW39,123,"Eastern Uttar Pradesh, Bihar, Jharkhand, West Bengal, Assam and Orissa under timely sown irrigated condition.",Tons
Wheat,2006-07,115.0,114.4,131.6,Rajasthan,683.58,VL Gehun 907 (VL 907),167 irrigated   & 180 rainfed,"Himachal Pradesh,  Jammu & Kashmir, Uttarakhand and Sikkim under timely sown irrigated conditions.",Tons
Wheat,2007-08,115.2,118.4,136.4,Madhya Pradesh,810.25,MPO(JW)  1215 (MPO 1215),120,"Madhya Pradesh, Chhattisgarh, Gujarat and Rajasthan (Kota and Udaipur Division only) under timely sown irrigated condition.",Tons
Wheat,2007-08,115.2,118.4,136.4,Madhya Pradesh,810.25,MACS 6222,108,"Maharashtra, Karnataka, Andhra Pradesh and Tamil Nadu under timely sown irrigated condition.",Tons
Wheat,2007-08,115.2,118.4,136.4,Madhya Pradesh,810.25,PDW 314,169,"Punjab, Haryana, Western Uttar Pradesh, Delhi, Rajasthan (Excluding Kota & Udaipur Divisions), Tarai Regions of Uttarakhand, Paonta Valley & Una District of Himachal Pradesh under timely sown irrigated conditions.",Tons
Wheat,2007-08,115.2,118.4,136.4,Madhya Pradesh,810.25,DBW39,123,"Eastern Uttar Pradesh, Bihar, Jharkhand, West Bengal, Assam and Orissa under timely sown irrigated condition.",Tons
Wheat,2007-08,115.2,118.4,136.4,Madhya Pradesh,810.25,VL Gehun 907 (VL 907),167 irrigated   & 180 rainfed,"Himachal Pradesh,  Jammu & Kashmir, Uttarakhand and Sikkim under timely sown irrigated conditions.",Tons
Wheat,2007-08,115.2,118.4,136.4,Punjab,804.8,MPO(JW)  1215 (MPO 1215),120,"Madhya Pradesh, Chhattisgarh, Gujarat and Rajasthan (Kota and Udaipur Division only) under timely sown irrigated condition.",Tons
Wheat,2007-08,115.2,118.4,136.4,Punjab,804.8,MACS 6222,108,"Maharashtra, Karnataka, Andhra Pradesh and Tamil Nadu under timely sown irrigated condition.",Tons
Wheat,2007-08,115.2,118.4,136.4,Punjab,804.8,PDW 314,169,"Punjab, Haryana, Western Uttar Pradesh, Delhi, Rajasthan (Excluding Kota & Udaipur Divisions), Tarai Regions of Uttarakhand, Paonta Valley & Una District of Himachal Pradesh under timely sown irrigated conditions.",Tons
Wheat,2007-08,115.2,118.4,136.4,Punjab,804.8,DBW39,123,"Eastern Uttar Pradesh, Bihar, Jharkhand, West Bengal, Assam and Orissa under timely sown irrigated condition.",Tons
Wheat,2007-08,115.2,118.4,136.4,Punjab,804.8,VL Gehun 907 (VL 907),167 irrigated   & 180 rainfed,"Himachal Pradesh,  Jammu & Kashmir, Uttarakhand and Sikkim under timely sown irrigated conditions.",Tons
Wheat,2007-08,115.2,118.4,136.4,Uttar Pradesh,769.84,MPO(JW)  1215 (MPO 1215),120,"Madhya Pradesh, Chhattisgarh, Gujarat and Rajasthan (Kota and Udaipur Division only) under timely sown irrigated condition.",Tons
Wheat,2007-08,115.2,118.4,136.4,Uttar Pradesh,769.84,MACS 6222,108,"Maharashtra, Karnataka, Andhra Pradesh and Tamil Nadu under timely sown irrigated condition.",Tons
Wheat,2007-08,115.2,118.4,136.4,Uttar Pradesh,769.84,PDW 314,169,"Punjab, Haryana, Western Uttar Pradesh, Delhi, Rajasthan (Excluding Kota & Udaipur Divisions), Tarai Regions of Uttarakhand, Paonta Valley & Una District of Himachal Pradesh under timely sown irrigated conditions.",Tons
Wheat,2007-08,115.2,118.4,136.4,Uttar Pradesh,769.84,DBW39,123,"Eastern Uttar Pradesh, Bihar, Jharkhand, West Bengal, Assam and Orissa under timely sown irrigated condition.",Tons
Wheat,2007-08,115.2,118.4,136.4,Uttar Pradesh,769.84,VL Gehun 907 (VL 907),167 irrigated   & 180 rainfed,"Himachal Pradesh,  Jammu & Kashmir, Uttarakhand and Sikkim under timely sown irrigated conditions.",Tons
